28345160,Chicken or turkey mushroom soup  cream of  prepared with milk,75,2.47,8.41,3.42
28350040,Fish stock  home recipe,16,2.26,0,0.81
28350050,Fish chowder,112,8.07,6.1,6.21
28350110,Crab soup  NS as to tomato-base or cream style,51,5.03,1.7,2.55
28350120,Crab soup  tomato-base,35,4.21,4.22,0.35
28350210,Clam chowder  NS as to Manhattan or New England style,61,3.26,7.56,2.03
28350220,Clam chowder  Manhattan,56,3.02,7.84,1.41
28350310,Turtle and vegetable soup,42,4.75,3.71,0.95
28351110,Fish and vegetable soup  no potatoes  Mexican style,39,5.15,1.47,1.27
28351120,Fish soup with potatoes  Mexican style,46,5.47,2.64,1.33
28351160,Codfish  rice  and vegetable soup  Puerto Rican style,68,5.29,7.59,1.7
28351170,Codfish soup with noodles  Puerto Rican style,72,5.7,7.5,2.11
28355110,Clam chowder  New England  NS as to prepared with water or milk,61,3.24,7.46,2.02
28355120,Clam chowder  New England  prepared with milk,61,3.26,7.56,2.03
28355130,Clam chowder  New England  prepared with water,35,1.55,5.05,1.01
28355140,Clam chowder  New England  reduced sodium  canned or ready-to-serve,70,2.33,5.68,4.23
11112110,Milk  reduced fat (2%),50,3.35,4.91,1.9
11112120,Milk  acidophilus  low fat (1%),43,3.38,5.19,0.95
11112130,Milk  acidophilus  reduced fat (2%),50,3.35,4.91,1.9
11112210,Milk  low fat (1%),43,3.38,5.19,0.95
11113000,Milk  fat free (skim),34,3.43,4.89,0.08
11114300,Milk  lactose free  low fat (1%),43,3.38,5.19,0.95
11114320,Milk  lactose free  fat free (skim),34,3.43,4.89,0.08
11114330,Milk  lactose free  reduced fat (2%),50,3.35,4.91,1.9
11114350,Milk  lactose free  whole,60,3.28,4.67,3.2
11115000,Buttermilk  fat free (skim),40,3.31,4.79,1.07
11115100,Buttermilk  low fat (1%),40,3.31,4.79,1.07
11115200,Buttermilk  reduced fat (2%),56,4.1,5.3,2
11115300,Buttermilk  whole,62,3.21,4.88,3.31
11115400,Kefir  NS as to fat content,52,3.59,7.48,0.96
11116000,Goat's milk  whole,69,3.56,4.45,4.14
93505100,Tequila,231,0,0,0
